144 4 4
0.13976 0.14 0.1397 0.13996 
0.13995 0.14007 0.1399 0.13995 
0.13995 0.14007 0.1399 0.13995 
0.13996 0.14014 0.13989 0.13996 
0.13996 0.14014 0.13989 0.13996 
0.13995 0.13997 0.13979 0.13986 
0.13995 0.13997 0.13979 0.13986 
0.13985 0.13992 0.13975 0.13989 
0.13985 0.13992 0.13975 0.13989 
0.1399 0.14008 0.13989 0.14008 
0.1399 0.14008 0.13989 0.14008 
0.14009 0.14023 0.13998 0.14018 
0.14009 0.14023 0.13998 0.14018 
0.14019 0.14026 0.14013 0.14021 
0.14019 0.14026 0.14013 0.14021 
0.1402 0.1402 0.13992 0.14004 
0.1402 0.1402 0.13992 0.14004 
0.14005 0.14024 0.14005 0.14022 
0.14005 0.14024 0.14005 0.14022 	
0.14021 0.14035 0.14017 0.14022 
0.14021 0.14035 0.14017 0.14022 
0.14023 0.14026 0.14014 0.1402 
0.14023 0.14026 0.14014 0.1402 
0.14019 0.14023 0.14013 0.14019 
0.14019 0.14023 0.14013 0.14019 
0.14021 0.14041 0.14021 0.14039 
0.14021 0.14041 0.14021 0.14039 
0.1404 0.1405 0.14036 0.14037 
0.1404 0.1405 0.14036 0.14037 
0.14036 0.14049 0.1403 0.14042 
0.14036 0.14049 0.1403 0.14042 
0.14043 0.14044 0.14035 0.14039 
0.14043 0.14044 0.14035 0.14039 
0.1404 0.1404 0.14006 0.14007 
0.1404 0.1404 0.14006 0.14007 
0.14006 0.14015 0.14002 0.14013 
0.14006 0.14015 0.14002 0.14013 
0.14012 0.1402 0.1401 0.14016 
0.14012 0.1402 0.1401 0.14016 
0.14015 0.14017 0.14008 0.14012 
0.14015 0.14017 0.14008 0.14012 
0.14011 0.14016 0.1401 0.14014 
0.14011 0.14016 0.1401 0.14014 
0.14013 0.14015 0.1401 0.14012 
0.14013 0.14015 0.1401 0.14012 
0.14011 0.14011 0.14005 0.14005 
0.14011 0.14011 0.14005 0.14005 
0.14006 0.14006 0.14 0.14001 
0.14006 0.14006 0.14 0.14001 
0.1402 0.14045 0.1402 0.14044 
0.1402 0.14045 0.1402 0.14044 
0.14045 0.14047 0.14032 0.14033 
0.14045 0.14047 0.14032 0.14033 
0.14032 0.14037 0.14031 0.14033 
0.14032 0.14037 0.14031 0.14033 
0.14034 0.14036 0.14026 0.1403 
0.14034 0.14036 0.14026 0.1403 
0.14028 0.14035 0.14025 0.14029 
0.14028 0.14035 0.14025 0.14029 
0.14028 0.14031 0.14022 0.14025 
0.14028 0.14031 0.14022 0.14025 
0.14026 0.14027 0.1402 0.14023 
0.14026 0.14027 0.1402 0.14023 
0.14024 0.14027 0.14017 0.14023 
0.14024 0.14027 0.14017 0.14023 
0.14022 0.14024 0.14017 0.1402 
0.14022 0.14024 0.14017 0.1402 
0.14021 0.14033 0.14017 0.14032 
0.14021 0.14033 0.14017 0.14032 
0.14033 0.14033 0.14027 0.14027 
0.14033 0.14033 0.14027 0.14027 
0.14028 0.1403 0.14023 0.14026 
0.14028 0.1403 0.14023 0.14026 
0.14025 0.14026 0.13997 0.14001 
0.14025 0.14026 0.13997 0.14001 
0.14002 0.14006 0.1399 0.14003 
0.14002 0.14006 0.1399 0.14003 
0.14004 0.14012 0.13998 0.13999 
0.14004 0.14012 0.13998 0.13999 
0.13998 0.14009 0.13998 0.14006 
0.13998 0.14009 0.13998 0.14006 
0.14005 0.14013 0.14002 0.14007 
0.14005 0.14013 0.14002 0.14007 
0.14008 0.1401 0.13999 0.14001 
0.14008 0.1401 0.13999 0.14001 
0.14002 0.14004 0.13996 0.13998 
0.14002 0.14004 0.13996 0.13998 
0.13997 0.13999 0.1399 0.13991 
0.13997 0.13999 0.1399 0.13991 
0.1399 0.13993 0.13988 0.13991 
0.1399 0.13993 0.13988 0.13991 
0.13992 0.13995 0.1399 0.13992 
0.13992 0.13995 0.1399 0.13992 
0.13993 0.13993 0.13977 0.13981 
0.13993 0.13993 0.13977 0.13981 
0.1398 0.13991 0.13976 0.1399 
0.1398 0.13991 0.13976 0.1399 
0.13991 0.13992 0.13983 0.13989 
0.13991 0.13992 0.13983 0.13989 
0.1399 0.14 0.13989 0.13999 
0.1399 0.14 0.13989 0.13999 
0.13998 0.13998 0.1399 0.13992 
0.13998 0.13998 0.1399 0.13992 
0.13993 0.13995 0.13985 0.13988 
0.13993 0.13995 0.13985 0.13988 
0.13987 0.13995 0.13987 0.13993 
0.13987 0.13995 0.13987 0.13993 
